SUPPLIER,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
USA WINE IMPORTS,0.65,0.0,0.0
USA WINE WEST LLC,4.960000000000001,5.0,21.0
VIGNOBLES LVDH USA INC,174.14999999999998,148.84,905.0
VIN DIVINO LTD,52.03,70.92,1.0
VINIFERA DISTRIBUTING OF MARYLAND INC,0.42,0.0,0.0
VINTAGE POINT LLC,13.080000000000002,11.0,201.0
VINTAGE VIRGINIA APPLES,0.16,-0.5,0.0
VINTAGE WINE ESTATES INC,675.5399999999997,559.68,359.0
VINTAGE WINES INC,18.93,3.0,62.0
VINTURE WINE COMPANY LLC,6.340000000000001,8.0,57.0
VINTUS LLC,31.68,17.0,0.0
VOLUBILIS IMPORTS INC,0.24,0.0,0.0
WAGNER WINE COMPANY LLC,164.46999999999997,144.84,226.92000000000002
WARSTEINER IMPORTERS,560.73,643.0,1547.0
WASHBURN WINE CO,67.97000000000003,70.83,631.6700000000001
WEIN-BAUER INC,0.5700000000000001,0.0,0.0
WESTERN SPIRITS BEVERAGE COMPANY LLC,771.7799999999999,702.6200000000001,14.0
WETTEN IMPORTERS INC,0.0,0.0,24.0
WHITE ROCK DISTILLERS INC,0.32,0.0,0.0
WI INC,99.71,112.0,299.92
"WI,INC",24.17,33.0,92.92
WILLIAM GRANT AND SONS INC,10813.729999999996,11900.249999999998,692.8299999999999
WILLIAM HARRISON IMPORTS,37.85999999999997,17.17,53.0
WILLIAMS CORNER WINE,0.32,0.0,77.0
WILSON DANIELS LTD,445.87999999999994,484.08,20.0
WINE BRIDGE IMPORTS INC,150.45999999999995,177.67999999999998,505.91999999999996
WINEBOW INC,1.2400000000000002,-1.58,0.0
YOUNG WON TRADING INC,1058.6500000000005,1047.3999999999999,2528.9000000000005
YUENGLING BREWERY,9628.349999999999,10851.17,53805.32
Z WINE GALLERY IMPORTS LLC,8.83,11.25,16.0
ZURENA LLC,16.150000000000002,20.67,0.0
