ITEM CODE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
11456,11.06,3.92,0.0
11457,11.18,9.0,4.0
11458,21.4,19.0,42.0
11459,20.55,8.0,29.0
11460,7.129999999999999,0.92,0.0
11461,5.440000000000001,4.0,0.0
11462,98.89999999999999,125.0,0.0
11463,77.14999999999999,86.0,3.0
11464,70.99,87.33,0.0
114677,0.08,0.0,0.0
11469,7.25,11.0,14.0
11477,0.0,0.0,3.0
114782,0.0,0.0,1.0
11479,4.050000000000001,0.0,0.0
11480,0.0,0.0,1.0
11482,25.11,25.0,2.0
11483,0.0,0.0,1.0
11484,0.0,0.0,5.0
11487,40.010000000000005,51.67,0.0
114910,0.0,0.0,2.0
114936,0.98,5.5,150.0
11494,0.0,0.0,3.0
11496,0.0,0.0,55.0
11501,0.0,0.0,3.0
11502,0.0,0.0,1.0
115037,0.73,0.0,0.0
11509,8.930000000000001,16.0,0.0
115096,0.5700000000000001,0.0,0.0
11513,0.0,0.0,1.0
11514,0.0,0.0,1.0
115185,7.460000000000001,8.0,7.0
11520,0.0,0.0,2.0
11521,0.0,0.0,4.0
115215,0.0,0.0,39.0
11522,0.0,0.0,3.0
11523,0.0,0.0,2.0
11525,215.30000000000004,226.49,0.0
11527,0.0,0.0,1.0
11529,0.0,0.0,10.0
115290,14.31,9.0,34.0
11530,0.0,0.0,2.0
11531,8.0,9.0,56.0
11532,0.0,0.0,4.0
115320,0.0,0.0,5.0
11533,0.0,0.0,2.0
11534,0.0,0.0,1.0
11535,40.7,48.0,159.75
11536,75.5,92.0,255.75
11539,0.0,0.0,4.0
115401,0.0,0.0,5.0
11544,0.0,0.0,6.0
11545,0.0,0.0,31.0
11546,0.0,0.0,163.96
11547,0.0,0.0,114.0
11548,0.0,0.0,23.0
11558,0.0,0.0,1.0
11562,24.199999999999992,-0.5,0.0
11563,28.669999999999998,25.0,6.0
11565,8.469999999999999,14.0,0.0
11566,0.0,0.0,143.0
11567,0.0,0.0,1.0
11570,0.0,0.0,1.0
11577,0.0,0.0,7.0
11578,0.0,0.0,5.0
11579,0.0,0.0,1.0
115800,0.0,0.0,23.0
11584,468.1000000000001,497.0,8.0
11590,0.0,0.0,1.0
11592,81.77,89.0,1.0
11593,0.0,0.0,1.0
115967,0.0,0.0,1.0
11602,0.0,0.0,1.0
116068,0.0,0.0,3.0
116114,16.99,20.0,37.0
11618,0.0,0.0,4.0
11619,0.0,0.0,2.0
11622,7.140000000000001,8.0,4.0
11623,0.0,0.0,2.0
11624,0.0,0.0,4.96
11629,0.0,0.0,3.0
11630,10.15,9.83,3.0
116300,0.0,0.0,1.0
116319,7.82,8.0,3.0
11642,0.0,0.0,77.0
11645,0.0,0.0,1.0
11646,0.0,0.0,3.0
11649,5.000000000000001,8.0,3.0
11651,0.0,0.0,15.0
